Riga;Canzone;Artista;Genere;Prompt;Listens;Version
1;One-Word Heart;MBV;Pop;minimal indie pop, muted kick/snare, soft bass, intimate vocals, subtle reverb;148000;5
2;I Never Knew;GeneuWeen;Pop;contemporary pop love song, smooth silky vocals, atmospheric synths;108000;5
3;wait!;Nora Ella;Pop;minimal pop, soft piano, airy vocals, emotional build, layered harmonies;114000;5
4;Paper Promises;Low Signal;Pop;emo pop, glitchy guitars, electronic drums, dynamic chorus;51000;5
5;Iĺll Stay;Nvrmnd2;Pop;dreamy indie pop, soft vocals, ambient layers, shoegaze influence;33000;4.5
6;Hearts & Strings (Remix);Athenaremixes;Pop;romantic dream pop, lush textures, magical vibe;42000;5
7;What A Shame (Original Version);GVG.Creations;Pop;synthwave pop, groovy bass, experimental textures;203000;5
8;Gold Jacket - Sam Tsui;samtsuimusic;Pop;melodic pop, catchy hooks, steady rhythm, clean vocals;4200000;4.5
9;20250928;Nanashi_Zero;Pop;soft whispery pop, dreamy atmosphere, introspective mood;41000;5
10;reflection and the backbeat;AI_Pseudo;Pop;psychedelic pop rock, groovy bassline, hypnotic rhythm;68000;4.5
11;addicted;l a n e;Pop;alt pop, chopped vocals, dreamy synths, lo-fi textures;45000;5
12;is it sunshine?;asad;Pop;bedroom pop, soft piano, low pass drums, melancholic tone;53000;5
13;footnote;Northern spinn;Pop;storytelling pop, urban imagery, reflective lyrics;43000;5
14;she looks good;ion;Pop;simple pop, catchy melody, light upbeat mood;23000;5
15;JOIN ME IN THE RING OF PRIDE;Luciferhazbin3;Pop;dance pop, synth bass, energetic tempo, layered vocals;190000;5
16;Parental Burnout;THE BEAT BASTARDS;Pop;electro pop, funk groove, upbeat energy, 126 bpm;129000;5
17;is it just love;asad;Pop;dream pop, emotional vocals, piano, gradual build;39000;5
18;Stay;Echo Soul;Pop;dreamy pop, bedroom style, romantic soft vocals;292000;5
19;Have You?;sonoa;Pop;indie pop, bright guitar, expressive vocals, uplifting rhythm;45000;5
20;I Hear You Calling;Tim;Pop;story-driven pop, ambient textures, emotional delivery;20000;5
21;Waiting for daybreak;Nanashi_Zero;Pop;pop rock, soft dynamics, introspective lyrics;22000;5
22;Drifting in Color;Prompt Junkie;Pop;lo-fi pop, mellow beats, airy vocals, chill vibe;21000;4.5
23;Gamer Girl (feat. LostBoy Kujo);J-ON;Pop;The song is an upbeat pop track with a driving electronic drum beat featuring a prominent kick and snare, accompanied by a consistent hi-hat pattern...;30000;5
24;??o?? \ l??/ [0] v5;c> Ś kick ice;Pop;bloomcore acoustic with soft-gritty bubblegum Ś Intimate bedroom-recording: nylon-string guitar, SID chip rain flickers, lullabloom textures, thunder-warm heartcore drums...;10000;5
25;Playing With My Mind;BAGBOY;Pop;Grooved Electric Bass, deep and punchy tone, fingerstyle with slight slides, only in the chorus, Electric Guitar (Fender Stratocaster), clean tone with wah effect, funky muted strum...;14000;4.5
26;I'm #1, not an option;Eternal Euphoria;Pop;funkalicious fiesta, funk, 808, boom bap p-funk, deep bass, smooth groove;11000;5
27;Don't Let Go;Luke White;Pop;A male vocalist sings a melancholic rock ballad with a driving rhythm section, The song begins with a clean electric guitar arpeggio, followed by the entrance of a male tenor vocali...;71000;4.5
28;Diagnosis;Noa Bar;Pop;A pop song with a female vocalist, featuring a driving synth bassline and a prominent synth melody, The drums are electronic, with a strong kick and snare, and a consistent hi-hat patt...;23000;4.5
29;Kundalini v5;TheloniousPunkd DINK;Pop;A surreal, high-energy fusion of experimental indie, electronic art pop, and psychedelic folkpunk, Layered percussion built from found sounds, pots, and pans creates a junkyard rh...;283000;5
